"state.rec","zcta","state.fips","state"
"1","25446","54","West Virginia"
"1","26818","54","West Virginia"
"1","25239","54","West Virginia"
"1","25703","54","West Virginia"
"1","25059","54","West Virginia"
"1","24924","54","West Virginia"
"1","25879","54","West Virginia"
"1","25932","54","West Virginia"
"1","26062","54","West Virginia"
"1","25502","54","West Virginia"
"1","26519","54","West Virginia"
"1","24892","54","West Virginia"
"1","26750","54","West Virginia"
"1","26572","54","West Virginia"
"1","25832","54","West Virginia"
"1","24726","54","West Virginia"
"1","25112","54","West Virginia"
"1","26601","54","West Virginia"
"1","24849","54","West Virginia"
"1","25678","54","West Virginia"
"1","24962","54","West Virginia"
"1","26146","54","West Virginia"
"1","26237","54","West Virginia"
"1","26301","54","West Virginia"
"1","26208","54","West Virginia"
"1","24984","54","West Virginia"
"1","26060","54","West Virginia"
"1","25314","54","West Virginia"
"1","25266","54","West Virginia"
"1","25103","54","West Virginia"
"1","26210","54","West Virginia"
"1","26547","54","West Virginia"
"1","26817","54","West Virginia"
"1","25506","54","West Virginia"
"1","25088","54","West Virginia"
"1","26440","54","West Virginia"
"1","25547","54","West Virginia"
"1","26159","54","West Virginia"
"1","26684","54","West Virginia"
"1","26143","54","West Virginia"
"1","26767","54","West Virginia"
"1","25045","54","West Virginia"
"1","25064","54","West Virginia"
"1","25177","54","West Virginia"
"1","25505","54","West Virginia"
"1","26181","54","West Virginia"
"1","26273","54","West Virginia"
"1","24895","54","West Virginia"
"1","25702","54","West Virginia"
"1","26287","54","West Virginia"
"1","25507","54","West Virginia"
"1","25637","54","West Virginia"
"1","25907","54","West Virginia"
"1","25851","54","West Virginia"
"1","26133","54","West Virginia"
"1","26629","54","West Virginia"
"1","25203","54","West Virginia"
"1","25512","54","West Virginia"
"1","26155","54","West Virginia"
"1","25567","54","West Virginia"
"1","26448","54","West Virginia"
"1","25241","54","West Virginia"
"1","26030","54","West Virginia"
"1","26160","54","West Virginia"
"1","25252","54","West Virginia"
"1","24910","54","West Virginia"
"1","25442","54","West Virginia"
"1","26615","54","West Virginia"
"1","25541","54","West Virginia"
"1","24882","54","West Virginia"
"1","26508","54","West Virginia"
"1","26270","54","West Virginia"
"1","25501","54","West Virginia"
"1","26105","54","West Virginia"
"1","24941","54","West Virginia"
"1","25904","54","West Virginia"
"1","26435","54","West Virginia"
"1","25517","54","West Virginia"
"1","25028","54","West Virginia"
"1","25853","54","West Virginia"
"1","26416","54","West Virginia"
"1","25909","54","West Virginia"
"1","24946","54","West Virginia"
"1","26170","54","West Virginia"
"1","26521","54","West Virginia"
"1","25313","54","West Virginia"
"1","26833","54","West Virginia"
"1","24815","54","West Virginia"
"1","25510","54","West Virginia"
"1","24740","54","West Virginia"
"1","26070","54","West Virginia"
"1","26520","54","West Virginia"
"1","25057","54","West Virginia"
"1","25841","54","West Virginia"
"1","26814","54","West Virginia"
"1","25411","54","West Virginia"
"1","25206","54","West Virginia"
"10","05660","50","Vermont"
"10","05250","50","Vermont"
"10","05678","50","Vermont"
"10","05681","50","Vermont"
"10","05076","50","Vermont"
"10","05770","50","Vermont"
"10","05301","50","Vermont"
"10","05461","50","Vermont"
"10","05045","50","Vermont"
"10","05742","50","Vermont"
"10","05766","50","Vermont"
"10","05253","50","Vermont"
"10","05454","50","Vermont"
"10","05820","50","Vermont"
"10","05075","50","Vermont"
"10","05772","50","Vermont"
"10","05473","50","Vermont"
"10","05737","50","Vermont"
"10","05086","50","Vermont"
"10","05640","50","Vermont"
"10","05158","50","Vermont"
"10","05647","50","Vermont"
"10","05084","50","Vermont"
"10","05358","50","Vermont"
"10","05446","50","Vermont"
"10","05837","50","Vermont"
"10","05679","50","Vermont"
"10","05050","50","Vermont"
"10","05443","50","Vermont"
"10","05255","50","Vermont"
"10","05744","50","Vermont"
"10","05777","50","Vermont"
"10","05859","50","Vermont"
"10","05902","50","Vermont"
"10","05819","50","Vermont"
"10","05340","50","Vermont"
"10","05153","50","Vermont"
"10","05001","50","Vermont"
"10","05676","50","Vermont"
"10","05667","50","Vermont"
"10","05776","50","Vermont"
"10","05759","50","Vermont"
"10","05656","50","Vermont"
"10","05648","50","Vermont"
"10","05658","50","Vermont"
"10","05149","50","Vermont"
"10","05009","50","Vermont"
"10","05041","50","Vermont"
"10","05901","50","Vermont"
"10","05359","50","Vermont"
"10","05352","50","Vermont"
"10","05455","50","Vermont"
"10","05774","50","Vermont"
"10","05477","50","Vermont"
"10","05046","50","Vermont"
"10","05464","50","Vermont"
"10","05491","50","Vermont"
"10","05677","50","Vermont"
"10","05362","50","Vermont"
"10","05459","50","Vermont"
"10","05448","50","Vermont"
"10","05148","50","Vermont"
"10","05360","50","Vermont"
"10","05734","50","Vermont"
"10","05476","50","Vermont"
"10","05738","50","Vermont"
"10","05354","50","Vermont"
"10","05736","50","Vermont"
"10","05059","50","Vermont"
"10","05152","50","Vermont"
"10","05489","50","Vermont"
"10","05083","50","Vermont"
"10","05673","50","Vermont"
"10","05091","50","Vermont"
"10","05769","50","Vermont"
"10","05035","50","Vermont"
"10","05764","50","Vermont"
"10","05458","50","Vermont"
"10","05342","50","Vermont"
"10","05154","50","Vermont"
"10","05472","50","Vermont"
"10","05767","50","Vermont"
"10","05487","50","Vermont"
"10","05055","50","Vermont"
"10","05452","50","Vermont"
"10","05829","50","Vermont"
"10","05855","50","Vermont"
"10","05444","50","Vermont"
"10","05666","50","Vermont"
"10","05761","50","Vermont"
"10","05841","50","Vermont"
"10","05843","50","Vermont"
"10","05661","50","Vermont"
"10","05161","50","Vermont"
"10","05351","50","Vermont"
"10","05343","50","Vermont"
"10","05070","50","Vermont"
"10","05450","50","Vermont"
"10","05468","50","Vermont"
"10","05763","50","Vermont"
"10","05680","50","Vermont"
"10","05768","50","Vermont"
"10","05058","50","Vermont"
"10","05651","50","Vermont"
"10","05071","50","Vermont"
"10","05701","50","Vermont"
"10","05355","50","Vermont"
"10","05907","50","Vermont"
"10","05142","50","Vermont"
"10","05778","50","Vermont"
"10","05037","50","Vermont"
"10","05904","50","Vermont"
"10","05146","50","Vermont"
"10","05495","50","Vermont"
"10","05088","50","Vermont"
"10","05036","50","Vermont"
"10","05043","50","Vermont"
"10","05655","50","Vermont"
"10","05765","50","Vermont"
"10","05494","50","Vermont"
"10","05868","50","Vermont"
"10","05474","50","Vermont"
"10","05077","50","Vermont"
"10","05062","50","Vermont"
"10","05735","50","Vermont"
"10","05775","50","Vermont"
"10","05072","50","Vermont"
"10","05081","50","Vermont"
"10","05866","50","Vermont"
"10","05101","50","Vermont"
"10","05873","50","Vermont"
"10","05836","50","Vermont"
"10","05051","50","Vermont"
"10","05089","50","Vermont"
"10","05038","50","Vermont"
"10","05073","50","Vermont"
"10","05456","50","Vermont"
"10","05905","50","Vermont"
"10","05847","50","Vermont"
"10","05851","50","Vermont"
"10","05040","50","Vermont"
"10","05762","50","Vermont"
"10","05463","50","Vermont"
"10","05361","50","Vermont"
"10","05031","50","Vermont"
"10","05478","50","Vermont"
"10","05405","50","Vermont"
"10","05670","50","Vermont"
"10","05445","50","Vermont"
"10","05408","50","Vermont"
"10","05653","50","Vermont"
"10","05350","50","Vermont"
"10","05758","50","Vermont"
"10","05155","50","Vermont"
"10","05674","50","Vermont"
"10","05482","50","Vermont"
"10","05746","50","Vermont"
"10","05732","50","Vermont"
"10","05903","50","Vermont"
"10","05822","50","Vermont"
"10","05872","50","Vermont"
"10","05151","50","Vermont"
"10","05862","50","Vermont"
"10","05441","50","Vermont"
"10","05821","50","Vermont"
"10","05356","50","Vermont"
"10","05201","50","Vermont"
"10","05065","50","Vermont"
"10","05345","50","Vermont"
"10","05261","50","Vermont"
"10","05156","50","Vermont"
"10","05731","50","Vermont"
"10","05730","50","Vermont"
"10","05747","50","Vermont"
"10","05846","50","Vermont"
"10","05143","50","Vermont"
"10","05079","50","Vermont"
"10","05672","50","Vermont"
"10","05488","50","Vermont"
"10","05833","50","Vermont"
"10","05344","50","Vermont"
"10","05743","50","Vermont"
"10","05664","50","Vermont"
"10","05440","50","Vermont"
"10","05867","50","Vermont"
"10","05748","50","Vermont"
"10","05052","50","Vermont"
"10","05860","50","Vermont"
"10","05447","50","Vermont"
"10","05056","50","Vermont"
"10","05652","50","Vermont"
"10","05669","50","Vermont"
"10","05150","50","Vermont"
"10","05483","50","Vermont"
"10","05827","50","Vermont"
"10","05260","50","Vermont"
"10","05481","50","Vermont"
"10","05033","50","Vermont"
"10","05649","50","Vermont"
"10","05404","50","Vermont"
"10","05845","50","Vermont"
"10","05353","50","Vermont"
"10","05486","50","Vermont"
"10","05363","50","Vermont"
"10","05753","50","Vermont"
