Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Public Utilities License,T27,1295461,12078,10719,16,9236,726445,15835,X,777,X,24198,X,15696,59279,18455,X,7375,5206,X,7688,X,X,X,35084,675,6654,19495,6,X,X,21371,20961,1619,28988,19773,3,1626,5,13656,84461,2255,10457,X,4983,21357,X,X,611,20752,469,67197,X
"Occupation and Business License, NEC",T28,15168683,72738,68759,190015,139083,4817776,50743,77540,140916,89595,170015,79969,53574,84987,444895,34442,137217,95497,129033,107246,117400,223626,311132,229573,456956,77829,163197,116554,35540,263821,240924,509049,46575,124530,352886,84226,839590,890,357719,1097983,65712,156520,117943,393486,744305,57456,26160,202471,362762,6889,350808,50131
Other License Taxes,T29,1756026,1,4303,1544,2220,4369,58,4854,11050,57123,10385,30030,12123,3929,36653,76725,8376,2667,4907,4545,10353,1849,295043,220347,64669,61613,81634,12341,1012,6867,4821,1949,0,1027,45172,0,134923,887,8081,20770,5883,18449,23351,8649,145016,8004,4370,63578,177337,3356,48813,0
Income Taxes,TA4,471574731,4879140,332520,5871515,3546406,113872440,8966205,10511616,2031392,2941983,3114711,13448213,2758743,1953737,22584556,9605266,4633614,4264874,5391757,4328623,1961936,11368130,20097631,11292994,14111719,2463296,6956929,1597960,2969418,X,954387,19812595,1792638,52383984,14095305,561797,9320571,3868327,10758070,16479430,1552958,5155320,46295,1899369,X,5501011,1010471,16164873,X,2295606,10064400,X
Individual Income Taxes,T40,411234520,4194844,X,5357251,3012491,100079921,8171546,8445783,1741418,2299327,X,12176943,2568259,1668776,18762174,8852914,4098020,3778453,4629057,3833235,1709069,10067080,17150964,10150323,12400060,1968485,6587919,1412863,2545680,X,122622,15903287,1590271,48087389,13258890,415274,9313265,3565449,9847141,13517069,1376495,4759113,X,201900,X,4978629,860639,14917745,X,2096807,8759680,X
Corporations Net Income Taxes,T41,60340211,684296,332520,514264,533915,13792519,794659,2065833,289974,642656,3114711,1271270,190484,284961,3822382,752352,535594,486421,762700,495388,252867,1301050,2946667,1142671,1711659,494811,369010,185097,423738,X,831765,3909308,202367,4296595,836415,146523,7306,302878,910929,2962361,176463,396207,46295,1697469,X,522382,149832,1247128,X,198799,1304720,X
Other Taxes,TA5,33640082,99740,888310,177096,138619,114425,217945,420970,176791,642551,3068629,179636,106336,8685,494489,1366,99423,55460,174012,505002,52618,592624,942827,405022,586319,51741,12674,206384,21324,872854,147753,1092083,1531481,3947062,89573,2610995,68727,1259180,222909,1702039,57913,133626,5959,287884,5765731,46449,79848,514470,1513307,482934,91747,674540
Death and Gift Taxes,T50,4947763,X,X,X,0,344,X,209674,1937,22311,3,5,18921,X,413174,248,77255,0,42903,X,15851,180434,601306,40,222279,0,8,X,X,X,X,491137,X,1068327,482,X,164,0,204734,1017275,43540,X,X,2235,X,X,12630,216,300324,X,6,0
Documentarty and Stock Transfer Taxes,T51,10624170,47988,X,18946,46610,X,X,211118,173765,561119,3034381,0,87415,X,81315,X,22168,X,3351,X,36767,217994,341521,381130,251851,X,12611,X,17942,108894,147753,600946,X,1277647,87267,X,X,21520,1957,655663,14373,133626,189,265319,X,X,61793,442970,1165883,12990,77388,X
Severance Taxes,T53,14881695,51752,888310,17252,56035,114081,217945,X,X,X,34245,X,X,5633,X,1118,X,55460,127758,505002,X,X,X,23852,60158,51741,4,202463,3382,123584,X,X,1491507,X,1824,2610995,68563,1153138,16218,X,X,X,5770,1024,5765731,45797,X,3357,47100,462451,267,668178
"Taxes, NEC",T99,3186454,0,0,140898,35974,0,0,178,1089,59121,0,179631,0,3052,0,0,0,0,0,0,0,194196,0,0,52031,0,51,3921,0,640376,0,0,39974,1601088,0,0,0,84522,0,29101,0,0,0,19306,0,652,5425,67927,0,7493,14086,6362
