Table 1. State Tax Collections Detailed Table: US and States: 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2020 Annual Survey of State Government Tax Collections.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  The data in this table are based on information from public records and contain no confidential data.  For more information, see (https://www.census.gov/programs-surveys/stc.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire","New
Jersey","New
Mexico",New York,"North
Carolina","North
Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode
Island","South
Carolina","South
Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming
Income Taxes,TA4,441059619,5028324,194663,5053472,3383968,94230200,8235796,10239719,1930761,3104933,2481710,12688415,2402772,2159428,21448044,9060144,4580513,3813961,5470599,4366639,2059590,12024332,19947124,9842335,12527608,2282688,6266128,1525034,2836811,X,903303,18977957,1323482,58483690,13168249,458354,8288666,3666521,9528152,14882239,1455159,5600556,37459,1562523,X,4094707,904264,16358821,X,2099935,10079871,X
Individual Income Taxes,T40,387987371,4274052,X,4530410,2914939,84412243,7539184,8177456,1685848,2377236,X,11704328,2359093,1913459,17956356,8303278,3960027,3380030,4831399,3916190,1843459,10698876,17414713,9029493,10923158,1861263,5901668,1338737,2445647,X,122631,15412766,1227926,53659401,12505906,376864,8284983,3364947,8635668,12372183,1241856,5095531,X,57642,X,3734504,762641,14996649,X,1947946,8494785,X
Corporations Net Income Taxes,T41,53072248,754272,194663,523062,469029,9817957,696612,2062263,244913,727697,2481710,984087,43679,245969,3491688,756866,620486,433931,639200,450449,216131,1325456,2532411,812842,1604450,421425,364460,186297,391164,X,780672,3565191,95556,4824289,662343,81490,3683,301574,892484,2510056,213303,505025,37459,1504881,X,360203,141623,1362172,X,151989,1585086,X
Other Taxes,TA5,31148365,93794,609307,160414,134799,119962,147878,321949,187592,548472,3346493,152391,106561,8511,378703,991,99609,32412,146228,447026,62604,680360,1055839,419854,575980,36507,13628,177914,20977,873113,152084,981216,1469859,4025710,98291,2086801,66718,934324,131328,1723540,69874,136197,6877,320790,4273807,53334,81283,628959,2055810,286381,93967,511347
Death and Gift Taxes,T50,5102727,X,X,0,0,282,X,146650,211,37249,X,0,45451,X,301768,139,76275,X,48250,X,21079,197169,699555,0,148779,X,8,X,X,X,X,436756,X,1070166,1279,X,76,0,113796,1051259,56325,X,X,0,X,X,15168,81,634915,X,41,0
Documentarty and Stock Transfer Taxes,T51,11037592,60391,X,18830,51505,X,X,175028,186158,452739,3317815,0,61110,X,76935,X,23334,X,10653,X,41525,227050,356284,404871,317509,X,13530,X,18581,108061,152084,544460,X,1278846,95288,X,X,21457,2011,636662,13549,136197,181,304090,X,X,60445,554295,1226500,12188,77430,X
Severance Taxes,T53,11524724,33403,609307,12704,28962,119680,147878,X,X,X,28678,X,X,5781,X,852,X,32412,87325,447026,X,X,X,14983,56358,36507,1,173824,2396,122449,X,X,1415606,X,1724,2086801,66642,829238,15521,X,X,X,5881,828,4273807,53188,X,2042,38408,267049,1890,505573
"Taxes, NEC",T99,3483322,0,X,128880,54332,0,0,271,1223,58484,X,152391,0,2730,0,0,0,X,0,X,0,256141,0,0,53334,0,89,4090,0,642603,0,0,54253,1676698,0,0,0,83629,0,35619,0,0,815,15872,0,146,5670,72541,155987,7144,14606,5774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X - Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
