"UACE10","GEOID10","NAME10","state","ALAND10","report_year.x","report_year.y","agency_voms","mode_voms","service_area_sq_miles","service_area_population","report_year","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"10162","10162","Bridgeport--Stamford, CT--NY","CT",1207883974,2023,2023,63,42,133,362408,2023,2,0,50,5,6,0,0,7,2,3307656,67246828,1004.4516,0,0,100.9696,40249421
"10189","10189","Bridgeton, NJ","NJ",46102339,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10351","10351","Bristol--Bristol, TN--VA","TN",165271839,2023,2023,7,4,33,27530,2023,4,0,50,4,4,0,0,6,0,42788,3863521,645.0302,0,0,22.3667,0
"10351","10351","Bristol--Bristol, TN--VA","VA",165271839,2023,2023,27,19,2777,186722,2023,1,0,0,4,4,0,0,6,0,42788,3863521,645.0302,0,0,22.3667,0
"10621","10621","Brookings, OR","OR",18078373,2023,2023,11,6,0,0,2023,0,0,0,1,1,0,0,2,0,72277,863268,155.6457,0,0,4.815,0
"10648","10648","Brookings, SD","SD",24565850,2023,2023,25,25,0,0,2023,1,0,0,0,1,0,0,1,0,272347,1761417,56.0069,0,0,4.5743,0
"10972","10972","Brownsville, TX","TX",212109894,2023,2023,26,18,67,181860,2023,4,0,0,2,2,0,0,2,0,896091,9164852,243.4162,0,0,19.0622,5155709
"11350","11350","Buffalo, NY","NY",984090151,2023,2023,273,197,336,809275,2023,39,5.12820512820513,69.2307692307692,3,3,2,0,3,0,25639807,146552242,691.9179,324062,36227,55.3834,46252415
"11431","11431","Bullhead City, AZ--NV","AZ",75224502,2023,2023,12,8,28,41348,2023,0,0,0,3,2,0,0,5,0,383662,3897024,593.5045,0,0,32.9384,0
"11431","11431","Bullhead City, AZ--NV","NV",75224502,2023,2023,9,4,89,8000,0,1,0,0,3,2,0,0,5,0,383662,3897024,593.5045,0,0,32.9384,0
"11674","11674","Burlington, IA--IL","IA",40269820,2023,2023,11,11,0,0,2023,0,0,0,1,0,0,0,1,0,55887,1099996,52.3932,0,0,5.702,0
"11728","11728","Burlington, NC","NC",234210750,2023,2023,27,27,102,171415,2023,1,0,100,2,3,0,0,1,2,0,4538593,251.1259,0,0,11.3034,0
"11755","11755","Burlington, VT","VT",159889307,2023,2023,138,48,9616,647064,2023,4,25,50,4,6,0,0,4,3,2145625,24516062,779.4332,0,0,37.1557,10319587
"11998","11998","Butler, PA","PA",85107900,2023,2023,18,18,0,0,2023,4,25,25,1,1,0,0,0,1,380305,502162,74.8937,0,0,3.0696,0
"12052","12052","Butte-Silver Bow, MT","MT",42753207,2023,2023,12,6,0,0,2023,2,0,0,2,3,0,0,3,0,0,1504889,185.0523,0,0,19.3971,0
"12160","12160","Cadillac, MI","MI",22604252,2023,2023,29,29,0,0,2023,1,0,0,0,1,0,0,1,0,168652,3829644,47.6597,0,0,1.7097,0
"12565","12565","California City, CA","CA",19560335,2023,2023,2,2,0,0,2023,2,100,100,0,1,0,0,1,0,10946,241889,154.8585,0,0,5.9052,0
"12754","12754","Camarillo, CA","CA",56939799,2023,2023,18,16,20,68374,2023,0,0,0,1,1,0,0,0,2,110681,2962529,282.6388,0,0,7.4317,0
"12808","12808","Cambridge, MD","MD",22411492,2023,2023,22,11,0,0,2023,2,0,100,2,2,0,0,2,0,114172,1493208,157.0038,0,0,10.5954,0
"13132","13132","Camilla, GA","GA",13881086,2023,2023,72,72,0,0,2023,0,0,0,0,1,0,0,0,1,73026,5942200,56.0648,0,0,1.6919,0
"13321","13321","Canton, MS","MS",27648965,2023,2023,11,11,0,0,2023,1,0,0,0,1,0,0,1,0,36853,887423,91.8087,0,0,1.8496,0
"13348","13348","Canton, NY","NY",8436264,2023,2023,22,22,0,0,2023,0,0,0,1,0,0,0,0,1,119756,3014218,65.5464,0,0,2.9209,0
"13375","13375","Canton, OH","OH",430713060,2023,2023,66,36,581,375586,2023,5,0,0,1,1,0,0,2,0,1674432,29918737,262.6171,0,0,10.6479,10133529
"13510","13510","Cape Coral, FL","FL",855010586,2023,2023,88,47,1289,2889349,2023,6,0,16.6666666666667,1,2,0,0,2,1,2766371,29493516,224.7993,0,0,16.8278,10735134
"13537","13537","Cape Girardeau, MO--IL","MO",90721367,2023,2023,27,23,579,82899,2023,2,0,50,2,2,0,0,4,0,475586,3071922,153.2163,0,0,28.4739,0
"13591","13591","Carbondale, IL","IL",126377053,2023,2023,23,23,0,0,2023,0,0,0,1,0,0,0,1,0,393330,2546061,107.8154,0,0,4.6655,0
"13699","13699","Carlinville, IL","IL",7351655,2023,2023,36,36,0,0,2023,0,0,0,0,1,0,0,1,0,65414,1243241,28.8696,0,0,1.4951,0
"13807","13807","Carlsbad, NM","NM",56866971,2023,2023,15,12,0,0,2023,1,0,0,2,2,0,0,2,0,45562,874906,82.0549,0,0,2.7006,0
"13915","13915","Caro, MI","MI",9199077,2023,2023,15,15,0,0,2023,0,0,0,0,1,0,0,1,0,100350,1547338,57.4556,0,0,1.6366,0
"13996","13996","Carroll, IA","IA",11968899,2023,2023,49,49,0,0,2023,3,0,33.3333333333333,0,1,0,0,1,0,390113,2228668,89.3648,0,0,4.1068,0
"14050","14050","Carrollton, KY","KY",9374937,2023,2023,3,3,0,0,2023,0,0,0,0,1,0,0,1,0,0,145792,50.1176,0,0,1.4074,0
"14104","14104","Carrollton, OH","OH",6184407,2023,2023,12,12,0,0,2023,1,0,0,0,1,0,0,1,0,81809,1045535,83.6696,0,0,2.0617,0
"14158","14158","Carson City, NV","NV",59803064,2023,2023,10,6,26,57446,2023,2,0,0,2,2,0,0,0,2,76665,1953593,182.0448,0,0,12.1882,0
"14185","14185","Cartersville, GA","GA",131065535,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14266","14266","Carthage, MO","MO",23559980,2023,2023,2,2,0,0,2023,0,0,0,0,1,0,0,1,0,16304,81398,18.0164,0,0,1.7333,0
"14401","14401","Casa Grande, AZ","AZ",57689722,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14482","14482","Casper, WY","WY",78264757,2023,2023,24,13,27,57561,2023,0,0,0,1,1,0,0,2,0,95800,2435603,151.5112,0,0,10.1257,0
"14644","14644","Catskill, NY","NY",10381511,2023,2023,9,9,0,0,2023,0,0,0,1,0,0,0,0,1,29170,1113740,126.5326,0,0,1.8165,0
"14698","14698","Cedar City, UT","UT",43503343,2023,2023,2,1,0,0,2023,1,0,0,2,2,0,0,2,0,25309,252221,88.6852,0,0,5.1587,0
"14752","14752","Cedar Rapids, IA","IA",216267356,2023,2023,28,23,717,229033,2023,2,0,0,1,2,0,0,2,1,493265,10622122,357.1494,0,0,20.5053,4724607
"14806","14806","Cedartown, GA","GA",22398891,2023,2023,1,1,0,0,2023,0,0,0,0,1,0,0,1,0,1662,82504,57.1753,0,0,2.754,0
"15022","15022","Centralia, IL","IL",30590490,2023,2023,110,94,0,0,2023,1,0,0,2,2,0,0,2,0,179684,11032715,252.6394,0,0,8.6254,0
"15076","15076","Centralia, WA","WA",81798312,2023,2023,18,11,0,0,2023,5,40,80,2,2,0,0,2,0,34127,5601462,247.272,0,0,8.5156,0
"15130","15130","Chadron, NE","NE",4939944,2023,2023,13,13,0,0,2023,0,0,0,0,2,0,0,2,0,11908,331816,138.8878,0,0,5.4921,0
"15211","15211","Champaign, IL","IL",120773988,2023,2023,110,83,41,136612,2023,2,0,50,2,3,0,0,3,2,6984086,47419535,453.4846,0,0,59.7148,14797075
"15265","15265","Chanute, KS","KS",13737362,2023,2023,6,6,0,0,2023,0,0,0,0,1,0,0,1,0,10062,61022,47.7107,0,0,7.4496,0
"15319","15319","Chardon, OH","OH",23330097,2023,2023,11,11,0,0,2023,1,0,100,0,1,0,0,1,0,49237,667286,87.2155,0,0,1.8275,0
"15400","15400","Charleston, IL","IL",18909621,2023,2023,18,16,0,0,2023,1,0,0,2,3,0,0,3,0,80672,1676027,479.2251,0,0,16.1186,0
"15481","15481","Charleston, WV","WV",254238308,2023,2023,45,34,902,178281,2023,3,66.6666666666667,66.6666666666667,2,2,0,0,2,0,1170073,13243130,202.9009,0,0,11.4595,5380596
"15508","15508","Charleston--North Charleston, SC","SC",759667608,2023,2023,94,66,2800,380600,2023,4,0,50,5,3,0,0,1,3,3783551,26165232,478.5752,0,0,28.6035,12721462
"15600","15600","Charles Town--Ranson, WV","WV",48053039,0,0,0,0,0,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
