"UACE10","GEOID10","NAME10","state","ALAND10","agency_voms","mode_voms","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"04222","04222","Augusta-Richmond County, GA--SC","SC",672475992,7,4,0,0,0,2,2,0,0,0,4,215384,6761278,319.1829,0,0,18.125,1915498
"04384","04384","Austin, TX","TX",1355592421,605,302,29,0,20.6896551724138,3,3,0,0,0,7,12990963,238631491,1950.316,345421,16112,40.2068,92641589
"04681","04681","Bakersfield, CA","CA",358552872,91,61,12,0,41.6666666666667,1,1,0,0,2,0,2906356,31432056,211.1023,0,0,13.949,10051963
"04843","04843","Baltimore, MD","MD",1856734366,1333,604,239,50,71.9665271966527,6,6,3,1,8,7,44133066,806426343,7353.6096,3244104,127606,111.3491,216918661
"04951","04951","Bangor, ME","ME",109704371,128,128,3,0,33.3333333333333,1,2,0,0,3,0,8523854,13614684,252.2868,0,0,12.6487,0
"05167","05167","Barnstable Town, MA","MA",718700832,274,165,17,25,50,2,3,0,2,4,2,56695247,135918057,4620.1515,0,0,155.8606,59411163
"05680","05680","Baton Rouge, LA","LA",949969170,60,44,4,0,100,1,1,0,0,1,1,641546,29462129,234.3413,0,0,7.7132,5919710
"05707","05707","Battle Creek, MI","MI",137406261,22,13,3,0,66.6666666666667,1,1,0,0,2,0,225523,4783233,222.7053,0,0,9.7371,0
"05869","05869","Bay City, MI","MI",104487607,52,38,2,0,100,1,1,0,0,2,0,1376,6424840,338.3778,0,0,6.5085,787633
"06058","06058","Beaumont, TX","TX",237552611,19,12,2,50,50,1,1,0,0,0,2,125360,5593253,194.2978,0,0,7.9548,1200588
"06139","06139","Beckley, WV","WV",157962317,18,11,0,0,0,1,1,0,0,0,2,61170,1078283,106.2332,0,0,3.7139,0
"06652","06652","Bellingham, WA","WA",124563225,94,46,5,0,40,1,2,0,0,3,0,684831,34736835,412.4615,0,0,21.7891,6526767
"06760","06760","Beloit, WI--IL","WI",88778590,9,7,2,0,50,1,1,0,0,1,1,93633,2073775,164.1095,0,0,8.3603,0
"06868","06868","Bend, OR","OR",102857256,43,14,4,0,0,3,2,0,0,3,2,167705,6482453,474.6782,0,0,26.25,1904048
"07138","07138","Benton Harbor--St. Joseph--Fair Plain, MI","MI",120910282,26,20,1,0,100,1,1,0,0,2,0,178857,2543366,122.8955,0,0,5.5533,0
"07705","07705","Billings, MT","MT",137093572,28,19,3,0,66.6666666666667,1,1,0,0,2,0,449999,5700261,277.0388,0,0,9.7041,1283154
"07732","07732","Binghamton, NY--PA","NY",191728719,52,37,2,0,50,1,2,0,0,2,1,2039063,11093118,280.7435,0,0,13.0613,3564868
"07786","07786","Birmingham, AL","AL",1372262260,95,70,4,25,25,1,2,0,0,2,1,1244850,32164319,351.4701,0,0,16.8494,12648032
"07921","07921","Bismarck, ND","ND",99711726,21,15,1,0,100,1,1,0,0,0,2,300609,3810929,151.2302,0,0,5.5918,0
"08002","08002","Blacksburg, VA","VA",132287164,49,40,1,0,100,2,1,0,0,2,1,160,10968776,225.0142,0,0,13.7066,1421804
"08380","08380","Bloomington, IN","IN",116023756,29,24,3,0,66.6666666666667,1,1,0,0,2,0,911085,7484420,155.1986,0,0,18.267,2844531
"08407","08407","Bloomington--Normal, IL","IL",126747529,43,27,3,0,0,1,1,0,0,2,0,735987,12779812,220.5283,0,0,17.2314,3937991
"08785","08785","Boise City, ID","ID",345745626,82,82,3,33.3333333333333,33.3333333333333,2,2,0,0,2,2,1339063,18919453,373.536,0,0,20.1382,8558086
"08974","08974","Bonita Springs, FL","FL",482992868,43,23,0,0,0,1,1,0,0,0,2,899195,10827417,175.4506,0,0,9.4035,5263480
"09271","09271","Boston, MA--NH--RI","MA",4852766033,2252,775,1039,25.0240615976901,80,16,6,3,2,9,18,179435509,1639063729,6493.2912,9509987,698705,270.3708,505432500
"09271","09271","Boston, MA--NH--RI","NH",4852766033,15,15,11,0,27.2727272727273,16,6,3,2,9,18,179435509,1639063729,6493.2912,9509987,698705,270.3708,505432500
"09298","09298","Boulder, CO","CO",84039714,45,45,1,0,0,0,1,0,0,1,0,9248,7695561,130.8502,0,0,1.8604,681588
"09379","09379","Bowling Green, KY","KY",117420731,16,10,1,0,0,1,1,0,0,0,2,3754,1464296,195.4777,0,0,5.6829,0
