"UACE10","GEOID10","NAME10","state","report_year","uza_name","ALAND10","agency_voms","mode_voms","total_facilities","per_facilities_prior1980","per_facilities_prior2000","bin_bus","bin_demandresponse","bin_light_commuterail","bin_ferry","bin_directly_operated","bin_purchased_transportation","fare_revenues_earned","total_operating_expenses","cost_per_hour","train_miles","train_hours","passengers_per_hour","passenger_miles"
"15130","15130","Chadron, NE","NE",2022,"",4939944,2,2,0,0,0,0,2,0,0,2,0,2731,278575,306.0832,0,0,9.9366,0
"15211","15211","Champaign, IL","IL",2022,"Champaign, IL",120773988,105,91,5,20,60,2,3,0,0,3,2,6883693,42838910,427.5431,0,0,51.5041,12850836
"15265","15265","Chanute, KS","KS",2022,"",13737362,3,3,0,0,0,0,1,0,0,1,0,8716,52463,36.2564,0,0,6.6261,0
"15319","15319","Chardon, OH","OH",2022,"",23330097,14,14,1,0,100,0,1,0,0,1,0,97148,1212101,63.7981,0,0,1.5293,0
"15400","15400","Charleston, IL","IL",2022,"",18909621,17,15,4,0,0,3,4,0,0,3,0,28083,1453038,394.189,0,0,11.7326,0
"15427","15427","Charleston, MS","IL",2022,"",5008080,17,15,4,0,0,3,4,0,0,3,0,28083,1453038,394.189,0,0,11.7326,0
"15481","15481","Charleston, WV","IL",2022,"",254238308,17,15,4,0,0,4,5,0,0,5,0,1168543,14177901,575.0314,0,0,21.6479,5139716
"15481","15481","Charleston, WV","WV",2022,"Charleston, WV",254238308,44,34,6,83.3333333333333,83.3333333333333,4,5,0,0,5,0,1168543,14177901,575.0314,0,0,21.6479,5139716
"15508","15508","Charleston--North Charleston, SC","IL",2022,"",759667608,17,15,4,0,0,8,6,0,0,4,3,3525043,26797167,788.3018,0,0,35.8416,11394692
"15508","15508","Charleston--North Charleston, SC","SC",2022,"Charleston, SC",759667608,77,51,4,0,50,8,6,0,0,4,3,3525043,26797167,788.3018,0,0,35.8416,11394692
"15670","15670","Charlotte, NC--SC","NC",2022,"Charlotte, NC--SC",1920045519,289,153,80,0,6.25,6,9,4,0,9,3,14986638,187100174,1870.6275,991560,85195,91.4764,61314028
