"Code","GeoFips","GeoName","CL_UNIT","UNIT_MULT","DataValue_2024","year","line","table","DataValue_2023","DataValue_2022","DataValue_2021","DataValue_2020","DataValue_2019"
"SAPCE1-4","13000","Georgia","Millions of current dollars","6",25530.3,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","15000","Hawaii","Millions of current dollars","6",2623.6,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","16000","Idaho","Millions of current dollars","6",4426.1,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","17000","Illinois","Millions of current dollars","6",25161.6,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","18000","Indiana","Millions of current dollars","6",15125,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","19000","Iowa","Millions of current dollars","6",9075.8,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","20000","Kansas","Millions of current dollars","6",6912.1,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","21000","Kentucky","Millions of current dollars","6",9487.6,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","22000","Louisiana","Millions of current dollars","6",11781.3,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","23000","Maine","Millions of current dollars","6",3589.9,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","24000","Maryland","Millions of current dollars","6",11665.1,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","25000","Massachusetts","Millions of current dollars","6",13306.1,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","26000","Michigan","Millions of current dollars","6",19974.7,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","27000","Minnesota","Millions of current dollars","6",14506.7,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","28000","Mississippi","Millions of current dollars","6",6204.3,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","29000","Missouri","Millions of current dollars","6",15396,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","30000","Montana","Millions of current dollars","6",3390.3,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","31000","Nebraska","Millions of current dollars","6",5707,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","32000","Nevada","Millions of current dollars","6",7163.9,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","33000","New Hampshire","Millions of current dollars","6",4162,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","34000","New Jersey","Millions of current dollars","6",17968.7,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","35000","New Mexico","Millions of current dollars","6",4743.8,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","36000","New York","Millions of current dollars","6",30757.6,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","37000","North Carolina","Millions of current dollars","6",26168.2,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","38000","North Dakota","Millions of current dollars","6",2025,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","39000","Ohio","Millions of current dollars","6",24736.8,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","40000","Oklahoma","Millions of current dollars","6",11093.2,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","41000","Oregon","Millions of current dollars","6",8983.6,2024,4,"SAPCE1",NA,NA,NA,NA,NA
"SAPCE1-4","42000","Pennsylvania","Millions of current dollars","6",26468.8,2024,4,"SAPCE1",NA,NA,NA,NA,NA
