Table 1. State Tax Collections Detailed Table: US and States: 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2023 Annual Survey of State Government Tax Collections.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  The data in this table are based on information from public records and contain no confidential data.  For more information, see (https://www.census.gov/programs-surveys/stc.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
ÿÿÿÿ ÿÿÿÿ Tobacco products,T16,17059004,145230,49803,256409,213844,1633961,350885,289548,104860,9349,1003242,235580,77538,41643,784861,371913,183814,112685,342329,238604,136463,440504,365269,735274,558043,124727,92206,67026,49514,170434,217521,496510,81200,855029,286285,22914,809033,408693,414864,1071809,132988,120804,52075,213888,1218400,105537,74847,246243,329320,155459,540130,19897
ÿÿÿÿ ÿÿÿÿ Sports betting (including pari-mutuels),T18,2020254,8258,X,34366,6314,19419,25014,18808,13431,1573,10800,X,X,1317,138914,40473,17038,5825,56061,38873,1301,32598,39350,16588,1516,3323,X,59358,151,39994,36861,105401,952,756918,X,1470,70585,1149,32258,175327,26983,X,219,83303,4900,X,0,71552,1097,6946,0,13670
ÿÿÿÿ ÿÿÿÿ Other selective sales and gross receipts,T19,62020537,623606,64928,X,316654,3627911,1534486,1460541,164456,92507,1137980,561731,957996,76447,4266987,2422787,64153,61037,1015310,139316,202230,1786581,666932,1989515,2318014,360404,172085,176873,35032,384731,408960,2586142,201221,7454404,1296687,194913,2732094,87568,1559916,2482003,450317,549247,162262,749185,8535430,22276,609442,2920520,1223271,677292,433173,2984
License taxes,TA3,68399981,624743,109440,681723,434220,13291952,676562,357584,2651434,239145,2285918,611562,333174,492341,3786767,865374,1133340,440781,601338,714919,323652,1028637,1319176,2276945,1483952,675097,740978,513606,199078,738622,574980,2343621,446056,1901733,2697496,231205,2137048,954955,1251854,2891665,185426,757210,348103,2608184,3709421,404304,148763,1361508,2095212,184868,1314902,219407
ÿÿÿÿ Alcoholic beverages,T20,828366,4396,2026,22857,5753,81109,9013,10130,2852,6618,8290,5087,X,2616,5015,21563,17953,3235,8485,0,6589,642,4302,22581,3447,1454,6296,8235,1282,X,5462,4852,0,86065,28362,419,47111,104,5484,34037,1358,16555,1588,1858,95977,0,500,16845,205496,1948,2519,X
ÿÿÿÿ Amusements,T21,516290,X,32,15,1360,17089,1019,174,498,0,2774,0,X,214,19298,7880,18460,9735,250,X,740,6279,13904,X,8733,22138,23,4661,427,79831,437,91035,2254,0,184,3552,57156,3258,2303,22751,266,6376,5361,506,3701,X,21,81397,16894,2964,85,255
ÿÿÿÿ Corporations in general,T22,9228448,218327,X,50836,39548,83264,20547,36504,2390053,46789,278897,59280,2861,6021,366239,12868,82185,15757,121489,443597,15252,140758,25925,36144,16597,255094,0,7008,6378,88697,88535,707856,2678,420,994828,X,267659,55213,46684,4147,7907,170146,8523,1650187,157903,266,3370,81072,56374,1011,31804,24950
ÿÿÿÿ Hunting and fishing,T23,1935695,24943,39886,44063,30497,124086,120477,5223,4249,100,17464,26336,814,62453,43401,26446,36532,29097,30090,33864,17569,18566,7087,63232,112119,3062,41424,82509,16737,13298,12357,22279,32676,52056,42721,19288,43176,26977,64471,87337,2393,24382,39444,51534,116679,33955,7896,26758,44685,36,69556,39415
ÿÿÿÿ Motor vehicles,T24,33368524,244420,31900,341102,188516,8122525,385260,224287,64157,39644,1535877,407899,241829,238785,2260271,367843,774964,251554,258808,83760,125894,517541,454625,1542447,934107,222305,334573,199202,126613,227541,117683,667220,227525,1420267,1012396,119818,519779,850979,641990,1308344,37457,302979,96332,315568,2313556,270745,76116,522083,976271,5341,714690,103136
ÿÿÿÿ Motor vehicle operators,T25,2966502,46703,X,37948,22132,352801,47790,52644,5798,4848,181945,28415,321,11391,178552,277482,17715,31762,29737,11519,13985,26654,92563,65344,49852,5986,14783,10267,11821,26098,15687,60110,16392,175834,126039,4204,88391,16252,30617,82988,8511,22336,5829,34733,187065,30838,13971,46732,142865,156693,38358,5201
ÿÿÿÿ Public utilities,T27,1148417,15158,9252,0,10165,466611,16796,588,705,X,40157,X,16179,67079,28625,X,11089,6649,0,12006,X,X,X,35136,7247,8158,21613,5,X,X,26298,18009,1947,16677,21086,4,1307,5,79417,78919,590,15097,X,7614,21292,X,X,697,35788,385,50067,X
ÿÿÿÿ Occupation and businesses,T28,16276019,70795,16252,182588,135129,4013036,75660,24308,170640,88073,208019,84203,55793,98177,855280,47092,170688,90023,150376,124287,125886,316308,408378,269372,260568,88751,222340,185930,34649,296903,266755,768448,53992,148715,419946,83920,970950,932,371333,1252054,85925,183135,159313,537098,642129,60790,35913,520392,437390,11490,349445,46450
ÿÿÿÿ Other license taxes,T29,2131720,1,10092,2314,1120,31431,0,3726,12482,53073,12495,342,15377,5605,30086,104200,3754,2969,2103,5886,17737,1889,312392,242689,91282,68149,99926,15789,1171,6254,41766,3812,108592,1699,51934,0,141519,1235,9555,21088,41019,16204,31713,9086,171119,7710,10976,65532,179449,5000,58378,0
Income taxes,TA4,619363476,7277674,444240,7045863,3985931,126315948,9122905,12878478,2997021,4174534,5522370,20778117,3447778,3176180,36662470,8806491,5473073,6068526,7248274,5902877,2933175,14088630,26479758,14702489,18639011,3277033,9589128,2594794,3698917,X,1421035,27202053,3090635,83092248,18495763,819581,11310492,5168516,14791650,22715373,1874389,7139201,48070,3159327,X,7359052,1510192,21014676,846835,3113533,11859170,X
ÿÿÿÿ Individual income,T40,464777306,5119611,X,5239526,2930657,96379294,6780832,9584927,2425836,3048229,X,16970544,3099978,2141870,23264505,7575900,4635011,4507007,6037886,4678963,2481964,9711372,19753739,11516497,13250842,2459002,8677784,2286844,3005952,X,149485,18506010,2646300,58775670,16855693,495437,11310241,4393714,13173132,17006745,1611789,5782274,X,2926,X,5915817,1210585,16645280,846835,2693568,9191233,X
ÿÿÿÿ Corporation net income,T41,154586170,2158063,444240,1806337,1055274,29936654,2342073,3293551,571185,1126305,5522370,3807573,347800,1034310,13397965,1230591,838062,1561519,1210388,1223914,451211,4377258,6726019,3185992,5388169,818031,911344,307950,692965,X,1271550,8696043,444335,24316578,1640070,324144,251,774802,1618518,5708628,262600,1356927,48070,3156401,X,1443235,299607,4369396,X,419965,2667937,X
Other taxes,TA5,55750521,111783,1819179,190828,245911,2209603,345959,477957,268476,499532,4436231,200199,150215,8983,621990,1680,117208,71322,226936,842005,82138,761359,1359720,443315,628331,40661,20602,289045,28764,1045732,205865,1356210,5419010,7348328,127893,3167768,60964,1964407,455131,2337278,89011,196677,6693,435533,9475528,140026,136686,669746,2470901,867314,118416,1155472
ÿÿÿÿ Death and gift,T50,8015868,X,X,0,0,348,0,193631,0,94517,X,0,58083,X,528511,108,86798,X,70629,0,30118,271552,973710,6,267444,0,0,X,X,X,0,542597,X,2185203,9,X,34,0,297572,1470424,72191,X,0,77,X,X,18629,0,853634,0,43,0
ÿÿÿÿ Documentary and stock transfer,T51,15232226,57424,X,X,73715,X,X,283920,266725,338646,4408231,0,92132,X,93479,X,30410,X,9285,X,52020,219433,386010,406915,268839,X,16160,X,24673,119199,205865,813613,X,3326758,126153,X,0,30836,1532,803893,16820,196677,185,400920,X,X,108290,560314,1381691,12706,98757,X
ÿÿÿÿ Severance,T53,26134967,54359,1819179,18526,98360,135200,345959,0,X,X,28000,X,X,5887,0,1572,X,71322,147022,842005,X,X,X,36346,92048,40661,0,281651,4091,79953,X,X,5295401,X,1731,3167768,60930,1834786,16627,X,X,X,5657,910,9475528,139327,X,3538,42596,840325,2186,1145516
"ÿÿÿÿ Other taxes, NEC",T99,6367460,0,X,172302,73836,2074055,X,406,1751,66369,0,200199,0,3096,0,X,0,X,0,X,0,270374,0,48,X,0,4442,7394,0,846580,0,0,123609,1836367,0,0,0,98785,139400,62961,0,0,851,33626,X,699,9767,105894,192980,14283,17430,9956
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X - Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
