"Notes","County","County Code","Year of Death","Year of Death Code",Deaths,Births,Death Rate
,"Greenville County, SC","45045","2023","2023",35,6603,5.30
,"Horry County, SC","45051","2023","2023",20,3372,5.93
,"Lexington County, SC","45063","2023","2023",18,3136,5.74 (Unreliable)
,"Richland County, SC","45079","2023","2023",34,4537,7.49
,"Spartanburg County, SC","45083","2023","2023",25,4413,5.67
,"Unidentified Counties, SC","45999","2023","2023",240,30811,7.79
,"Unidentified Counties, SD","46999","2023","2023",71,11201,6.34
,"Davidson County, TN","47037","2023","2023",72,10305,6.99
,"Hamilton County, TN","47065","2023","2023",30,4508,6.65
,"Knox County, TN","47093","2023","2023",20,5524,3.62
,"Rutherford County, TN","47149","2023","2023",24,4645,5.17
,"Shelby County, TN","47157","2023","2023",104,12073,8.61
,"Unidentified Counties, TN","47999","2023","2023",288,45966,6.27
,"Bell County, TX","48027","2023","2023",33,5923,5.57
,"Bexar County, TX","48029","2023","2023",182,26523,6.86
,"Brazoria County, TX","48039","2023","2023",20,4617,4.33
,"Cameron County, TX","48061","2023","2023",34,5831,5.83
,"Collin County, TX","48085","2023","2023",67,13116,5.11
,"Dallas County, TX","48113","2023","2023",254,36922,6.88
,"Denton County, TX","48121","2023","2023",51,11557,4.41
,"El Paso County, TX","48141","2023","2023",63,10731,5.87
,"Fort Bend County, TX","48157","2023","2023",39,9455,4.12
,"Galveston County, TX","48167","2023","2023",16,3891,4.11 (Unreliable)
,"Harris County, TX","48201","2023","2023",399,65027,6.14
,"Hidalgo County, TX","48215","2023","2023",64,13939,4.59
,"Jefferson County, TX","48245","2023","2023",22,3114,7.06
,"Lubbock County, TX","48303","2023","2023",25,4001,6.25
,"Montgomery County, TX","48339","2023","2023",40,8824,4.53
,"Nueces County, TX","48355","2023","2023",30,4196,7.15
,"Tarrant County, TX","48439","2023","2023",186,27600,6.74
,"Travis County, TX","48453","2023","2023",50,16212,3.08
,"Webb County, TX","48479","2023","2023",21,4407,4.77
,"Williamson County, TX","48491","2023","2023",26,8441,3.08
,"Unidentified Counties, TX","48999","2023","2023",642,103618,6.20
,"Davis County, UT","49011","2023","2023",26,4697,5.54
,"Salt Lake County, UT","49035","2023","2023",68,14211,4.79
,"Utah County, UT","49049","2023","2023",58,12050,4.81
,"Unidentified Counties, UT","49999","2023","2023",83,14061,5.90
,"Unidentified Counties, VT","50999","2023","2023",16,5065,3.16 (Unreliable)
,"Chesterfield County, VA","51041","2023","2023",24,4051,5.92
,"Fairfax County, VA","51059","2023","2023",44,12063,3.65
,"Henrico County, VA","51087","2023","2023",17,3578,4.75 (Unreliable)
,"Loudoun County, VA","51107","2023","2023",17,4585,3.71 (Unreliable)
,"Prince William County, VA","51153","2023","2023",28,6111,4.58
,"Virginia Beach city, VA","51810","2023","2023",27,4837,5.58
,"Unidentified Counties, VA","51999","2023","2023",385,57424,6.70
,"Clark County, WA","53011","2023","2023",31,5487,5.65
,"King County, WA","53033","2023","2023",98,22442,4.37
,"Kitsap County, WA","53035","2023","2023",12,2691,4.46 (Unreliable)
,"Pierce County, WA","53053","2023","2023",73,10450,6.99
,"Snohomish County, WA","53061","2023","2023",40,9876,4.05
,"Spokane County, WA","53063","2023","2023",35,5706,6.13
,"Thurston County, WA","53067","2023","2023",12,2840,4.23 (Unreliable)
,"Unidentified Counties, WA","53999","2023","2023",107,21440,4.99
,"Unidentified Counties, WV","54999","2023","2023",93,16606,5.60
,"Dane County, WI","55025","2023","2023",33,5548,5.95
,"Milwaukee County, WI","55079","2023","2023",88,11550,7.62
,"Waukesha County, WI","55133","2023","2023",13,3644,3.57 (Unreliable)
,"Unidentified Counties, WI","55999","2023","2023",210,39012,5.38
,"Unidentified Counties, WY","56999","2023","2023",23,5990,3.84
"---"
"Dataset: Linked Birth / Infant Death Records, 2017-2023 Expanded"
"Query Parameters:"
"Year of Death: 2023"
"Group By: County; Year of Death"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/lbd-expanded.html for more information."
"---"
"Query Date: Jul 30, 2026 3:08:59 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Linked Birth / Infant Deaths on CDC WONDER Online Database. Data are from the Linked Birth / Infant Deaths Records"
"2017-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/lbd-current-expanded.html on Jul 30, 2026 3:08:59 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
