Table 1. State Tax Collections Detailed Table: US and States: 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2024 Annual Survey of State Government Tax Collections.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  The data in this table are based on information from public records and contain no confidential data.  For more information, see (https://www.census.gov/programs-surveys/stc.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
ÿÿÿÿ Other license taxes,T29,2133266,1,10090,2466,1676,18395,0,4630,10489,49574,13889,452,12487,5176,41433,98200,2753,2890,6278,5906,18065,1770,314075,238270,95239,68048,100879,16039,1208,9396,44624,2197,108920,1772,52150,0,140591,1017,9542,21245,43993,15805,30607,9613,171426,7712,11453,63959,190206,5941,50719,0
Income taxes,TA4,649004063,7463209,389125,6593551,3732270,164509965,9394659,13237041,3070864,4271954,6045890,19635627,3795096,4056255,34525707,9061329,5293280,5969395,7056636,5896980,2858702,15496879,28425442,14177504,19149541,3045600,9400085,2556940,4207280,X,1401979,27446398,3184225,77058114,18223476,612922,10020919,5202631,11223340,22035563,2197596,7496591,60718,3050692,X,7169556,1498470,21473737,350447,2735322,13244561,X
ÿÿÿÿ Individual income,T40,482464670,5281413,X,4808643,2759813,123101651,6799855,10034028,2533018,3138951,X,16020674,3280508,2885574,22629801,8096200,3760179,4503615,5015585,4882451,2398949,10647833,22134838,11364943,13274070,2327803,7747560,2246570,2482372,X,183359,18622423,2647960,53840077,16664704,356475,10020706,4511353,9538119,17079032,1602020,6145430,X,2123,X,5719610,1243069,17637351,350447,2269859,9873656,X
ÿÿÿÿ Corporation net income,T41,166539393,2181796,389125,1784908,972457,41408314,2594804,3203013,537846,1133003,6045890,3614953,514588,1170681,11895906,965129,1533101,1465780,2041051,1014529,459753,4849046,6290604,2812561,5875471,717797,1652525,310370,1724908,X,1218620,8823975,536265,23218037,1558772,256447,213,691278,1685221,4956531,595576,1351161,60718,3048569,X,1449946,255401,3836386,X,465463,3370905,X
Other taxes,TA5,54115585,92998,1037074,263198,178138,8403496,187105,393853,220445,444239,4089814,203426,153205,10587,736051,1235,88287,35044,199787,828612,77708,694329,920475,425377,587339,49152,20859,255831,26233,1016194,183729,1183124,4643196,5783749,113468,3095262,60583,1218966,501625,2345053,68078,188929,11995,392513,8596027,99118,134103,620660,1869339,455604,108931,801442
ÿÿÿÿ Death and gift,T50,6903139,X,X,0,0,891,0,112981,0,44965,X,0,55794,X,654175,0,59664,X,75635,0,29052,213400,574198,6,283832,0,0,X,X,X,0,540623,X,1855654,0,X,3,0,340041,1580764,51583,X,0,7,X,X,23878,0,405993,0,0,0
ÿÿÿÿ Documentary and stock transfer,T51,12102981,54661,X,X,64442,X,X,280712,218744,330114,4067861,0,97411,X,81876,X,28623,X,9103,X,48656,200784,346277,398667,226949,X,16342,X,22550,117429,183729,642501,X,1318999,111421,X,0,25664,2493,697497,16495,188929,203,356411,X,X,100385,530514,1215428,12288,88823,X
ÿÿÿÿ Severance,T53,21655472,38337,1037074,21513,36372,133222,187105,0,X,X,21953,X,X,6009,0,1235,X,35044,115049,828612,X,X,X,26655,76558,49152,0,241180,3683,109778,X,X,4437157,X,2047,3095262,60580,1100599,20354,X,X,X,10933,529,8596027,97887,X,5866,40961,422363,2024,794352
"ÿÿÿÿ Other taxes, NEC",T99,13453993,0,X,241685,77324,8269383,X,160,1701,69160,0,203426,0,4578,0,X,0,X,0,X,0,280145,0,49,X,0,4517,14651,0,788987,0,0,206039,2609096,0,0,0,92703,138737,66792,0,0,859,35566,X,1231,9840,84280,206957,20953,18084,7090
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X - Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
