Table 2. State Tax Collections Detailed Table: US and States: 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Dollar amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, 2021 Annual Survey of State Government Tax Collections.  Data users who create their own estimates using data from this report should cite the U.S. Census Bureau as the source of the original data only.  The data in this table are based on information from public records and contain no confidential data.  For more information, see (https://www.census.gov/programs-surveys/stc.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
ÿÿÿÿ ÿÿÿÿ Public utilities,T15,12163068,663891,4361,22226,X,652621,X,256751,45518,167152,1682256,X,125221,1961,1276429,207932,78826,312,81185,9250,21732,144260,X,38425,95402,1874,X,41015,53973,37518,40436,935252,34757,775099,233,53465,1036909,47701,18564,994326,93449,28258,3236,8894,725767,54890,9576,495749,611339,126206,354279,4592
ÿÿÿÿ ÿÿÿÿ Tobacco products,T16,19245041,170998,61181,294155,233224,1969795,227872,322806,115700,22185,1100091,242897,108529,48796,917043,410363,200579,123410,420634,268752,144593,388243,398214,886370,626480,140868,99418,73677,55790,185039,253579,601614,95230,1000481,307357,26108,928292,463457,377921,1292064,158682,134537,52328,242926,1397304,106633,77473,287856,386660,171187,604097,21553
ÿÿÿÿ ÿÿÿÿ Other selective sales and gross receipts,T19,54566828,645263,39382,142055,293212,5388443,1970574,1351016,145781,90467,986396,519077,310116,76479,3765186,1497997,49883,33768,935079,111228,156641,1738046,725248,1729045,2052993,276090,181509,77454,22081,340603,422686,2023002,162039,5963245,1171212,164174,2256603,157465,1273625,2351272,229443,552152,143713,625892,6522826,10740,468383,2134314,1282554,568575,428437,3364
License taxes,TA3,66293682,606351,153176,618052,423851,13626240,731321,387836,2076828,201696,2515112,750136,258953,473872,3818851,819109,1101447,457796,535774,477174,325922,969440,1274252,2178822,1505670,570447,691696,481678,194771,700469,522670,1986338,311527,1818715,2600601,210333,2029060,1085111,1293600,2955413,164295,707027,300687,2333130,3730678,371684,143501,995094,2072634,181634,1340711,212497
ÿÿÿÿ Alcoholic beverages,T20,754547,3667,1279,9679,5858,92549,6138,9091,1693,6186,4346,4363,X,1766,16706,16012,18664,3089,4952,0,8499,849,4091,20572,3070,1347,6509,4235,1016,X,19030,4662,0,55626,5306,424,52218,46,4937,23511,1242,15414,1409,1669,76947,0,503,16062,213953,3035,2327,X
ÿÿÿÿ Amusements,T21,624339,X,X,0,1131,22219,960,229,333,1429,6000,X,X,241,73270,5925,27920,9213,243,X,404,1342,11396,X,5575,18108,20,4770,432,78536,376,60072,2364,X,117,2195,29865,165847,1758,48133,182,6925,5210,380,12865,X,17,116,13791,4394,36,0
ÿÿÿÿ Corporations in general,T22,8272286,187666,X,28484,32373,87904,25975,33456,1822622,37014,535900,66937,2203,5381,401332,11810,64639,32099,116242,237606,15039,168085,27548,33845,16055,213898,0,7279,6988,87976,80162,517923,2502,1164,990614,X,277431,55849,42766,15125,7034,148137,7398,1381686,259538,465,3185,76769,50387,756,29288,17751
ÿÿÿÿ Hunting and fishing,T23,1906608,21506,32968,42209,30622,119279,115697,6062,4492,87,17083,35899,615,59845,39783,21565,35549,31951,31326,30818,19749,19157,6337,76709,110681,3072,41203,76370,19575,14066,13732,15989,27382,40184,42619,18508,48625,27249,64021,86559,2213,21855,32117,44538,123464,32623,8533,27602,47739,34,73772,42975
ÿÿÿÿ Motor vehicles,T24,32736210,260114,36472,293109,178731,7559980,458464,223255,62180,34843,1523039,406893,177165,232064,2443924,351739,760540,243334,223193,85059,126182,520688,472172,1455962,945653,169938,334238,188314,117972,209528,117980,681061,213998,1419382,994556,117646,504197,812747,795820,1307236,28168,302509,89194,387781,2222240,242790,75544,504374,998237,4562,719005,102438
ÿÿÿÿ Motor vehicle operators,T25,3163589,43783,X,35777,19739,385767,44038,51650,8379,5784,218600,117993,327,12261,209309,278503,21978,28775,23037,5619,13178,23715,86081,66802,59219,19466,17234,7947,11523,30163,10165,60487,13491,159897,119437,5386,83059,21471,48734,94891,8049,4915,5942,48880,187285,29576,14464,80230,125839,148902,41167,4675
ÿÿÿÿ Public utilities,T27,1089014,19815,7835,30,9135,513607,15084,X,550,X,38747,X,17224,63214,12897,X,10791,5313,X,6119,X,X,X,37098,7570,6605,19056,10,X,X,16397,21565,1800,20818,18220,4,3013,6,16902,72725,668,14015,X,4900,22213,X,X,697,21114,389,62868,X
ÿÿÿÿ Occupation and businesses,T28,15820481,69799,74622,206430,145326,4840571,64929,59187,161821,64924,159607,85652,49591,94829,589448,47155,160355,100883,134386,107217,130503,233561,351358,268448,271262,78063,183559,176809,35995,271923,223787,622514,49990,120914,378880,66170,893836,836,306162,1284008,80859,171008,136919,453191,650719,59270,29864,226454,438328,14521,349380,44658
ÿÿÿÿ Other license taxes,T29,1926608,1,0,2334,936,4364,36,4906,14758,51429,11790,32399,11828,4271,32182,86400,1011,3139,2395,4736,12368,2043,315269,219386,86585,59950,89877,15944,1270,8277,41041,2065,0,730,50852,0,136816,1060,12500,23225,35880,22249,22498,10105,175407,6960,11391,62790,163246,5041,62868,0
Income taxes,TA4,596112697,6043093,124987,7438706,4085598,172421856,11524577,12866247,2483094,3506270,3407190,15971641,3546116,2809422,27600197,11964087,5060175,5344578,6138893,4520855,2359590,12026945,23356481,13495663,17593996,3065829,8402368,2157888,3701819,X,1136978,22793255,1351634,59641803,17423701,604162,10668765,4368893,12480427,20023246,2015621,6196557,53960,2743837,X,7418368,1399998,18645899,X,2574275,11553157,X
ÿÿÿÿ Individual income,T40,505777536,4908837,X,6532753,3467141,146324579,10246531,10259183,2148289,2643213,X,14220906,3354690,2457943,21870696,10578929,4266534,4617143,5212818,3933108,2075273,10186240,19683486,11999165,15170613,2515630,7715511,1889444,3130599,X,127003,16833495,1198906,54531166,15908051,448704,10662810,3767669,11256904,15977933,1757678,5456360,X,179379,X,6672695,1233157,17066596,X,2253788,9035988,X
ÿÿÿÿ Corporation net income,T41,90335161,1134256,124987,905953,618457,26097277,1278046,2607064,334805,863057,3407190,1750735,191426,351479,5729501,1385158,793641,727435,926075,587747,284317,1840705,3672995,1496498,2423383,550199,686857,268444,571220,X,1009975,5959760,152728,5110637,1515650,155458,5955,601224,1223523,4045313,257943,740197,53960,2564458,X,745673,166841,1579303,X,320487,2517169,X
Other taxes,TA5,37122640,119348,387367,183800,156361,1251825,0,664295,247865,649177,4875626,138964,93998,8947,566990,1057,130739,27553,156233,301942,92585,743738,1267153,434961,680128,29635,14648,137542,23653,1014004,212289,1026284,1862066,4342557,124676,1662082,63045,869570,428531,2166427,55857,183899,10914,408140,5089433,38333,108754,924388,2280949,298344,126603,439365
ÿÿÿÿ Death and gift,T50,6434923,X,X,0,0,77,X,285779,2,31742,X,0,31275,X,478611,289,100141,X,61625,0,40399,240585,787764,0,204646,X,3,X,X,X,X,530341,X,1537437,35,X,62,5,410270,1302914,38141,X,X,1434,X,X,26924,X,324421,X,1,0
ÿÿÿÿ Documentary and stock transfer,T51,14382990,80496,X,X,67983,X,X,378209,246549,553515,4846085,0,62723,X,88379,X,30598,X,10162,X,52186,269373,479389,411412,410830,X,14599,X,21139,144312,212289,495943,X,1157443,122840,X,X,27171,2779,787842,17716,183899,199,392898,X,X,71421,810105,1810495,15913,106098,X
ÿÿÿÿ Severance,T53,11804214,38852,387367,35610,33004,130748,0,X,X,X,29541,X,X,5870,X,768,X,27553,84446,301942,X,X,X,23549,64652,29635,0,130998,2514,278504,X,X,1804377,X,1801,1662082,62983,754292,15482,X,X,X,9811,381,5089433,37985,X,3453,43020,274256,3991,435314
"ÿÿÿÿ Other taxes, NEC",T99,4500513,0,X,148190,55374,1121000,0,307,1314,63920,0,138964,0,3077,0,0,0,X,0,X,0,233780,0,0,0,0,46,6544,0,591188,0,0,57689,1647677,0,X,0,88102,0,75671,0,0,904,13427,0,348,10409,110830,103013,8175,16513,4051
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X - Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
