"ST_CASE","geometry"
10288,c(30.594125, -88.16603611)
10289,c(30.63390556, -88.11848611)
10290,c(34.18274444, -86.84912778)
10291,c(34.70052778, -86.517425)
10292,c(31.42408056, -87.16038889)
10293,c(30.874525, -88.30185556)
10294,c(33.52585278, -87.23676111)
10295,c(33.46880556, -86.05851111)
10296,c(31.96480278, -86.31306944)
10297,c(30.74913333, -88.11566111)
10298,c(32.31002222, -86.22023333)
10299,c(34.30784167, -86.90507222)
10300,c(32.91271667, -86.60951111)
10301,c(34.89636389, -87.38943333)
10302,c(34.46694722, -86.78906389)
10303,c(33.38766944, -86.64275556)
10304,c(33.30173611, -86.19824167)
10305,c(31.56356111, -86.94518611)
10306,c(33.21745278, -86.80243056)
10307,c(33.232275, -86.85979444)
10308,c(31.14021944, -85.51686111)
10309,c(34.11016389, -85.60405556)
10310,c(34.50060278, -85.84568056)
10311,c(30.87894167, -88.04126944)
10312,c(34.54325833, -86.85838056)
10313,c(33.32323611, -87.60500278)
10314,c(30.5156, -88.20775556)
10315,c(33.5322, -86.82337778)
10316,c(34.79784722, -86.57559722)
10317,c(34.544675, -86.42763889)
10318,c(30.250175, -87.68952222)
10319,c(30.81008889, -88.10288333)
10320,c(33.45782778, -86.95318611)
10322,c(31.19976111, -85.41545556)
10323,c(33.51319167, -86.849175)
10324,c(34.57296111, -86.90966389)
10325,c(34.73498611, -86.62766111)
10326,c(33.59190833, -86.12335556)
10327,c(33.55189444, -86.12654722)
10328,c(34.85289444, -87.4059)
10329,c(34.50058889, -87.02836944)
10330,c(32.32762222, -86.33540556)
10331,c(34.24425556, -85.64086944)
10332,c(34.75101389, -86.77545278)
10333,c(31.66246111, -85.81111389)
10334,c(33.15118889, -87.15128056)
10335,c(34.71292778, -86.65311389)
10336,c(33.08691667, -85.33751667)
10337,c(34.28393889, -86.22675833)
10338,c(34.56605, -87.36673333)
10339,c(30.70905278, -88.15166111)
10340,c(33.49861944, -86.81494722)
10341,c(34.88533889, -86.89343889)
10342,c(31.27159722, -88.06288056)
10343,c(33.04502778, -85.59050833)
10344,c(34.09626667, -87.601175)
10345,c(32.65495833, -85.42515)
10346,c(30.75672222, -88.12030833)
10347,c(34.78298333, -86.67237778)
10348,c(34.967025, -86.83020278)
10349,c(31.25014444, -88.0842)
10350,c(30.55299722, -88.236125)
10351,c(30.61745, -88.13685278)
10352,c(33.57508333, -86.72006944)
10353,c(30.80205833, -88.24351111)
10354,c(33.821675, -87.18711389)
10355,c(30.59704444, -88.15362778)
10356,c(32.46025833, -85.14616944)
10357,c(34.41611944, -87.15058056)
10358,c(33.97161667, -87.72260833)
10359,c(32.15638611, -88.07684167)
10360,c(33.15877778, -85.3637)
10361,c(31.68658611, -86.28383056)
10362,c(34.48810278, -86.89609444)
10363,c(34.95378889, -86.99650556)
10364,c(30.41448889, -87.5265)
10365,c(34.717375, -86.55953056)
10366,c(31.67110278, -88.24846389)
10367,c(32.74778889, -85.19891944)
10368,c(32.04179722, -87.65595)
10369,c(33.58138333, -86.80970556)
10370,c(32.44626111, -86.21385833)
10371,c(32.26588889, -86.78829444)
10372,c(34.20911389, -85.72798056)
10373,c(30.65378056, -87.7906)
10374,c(34.30330833, -87.05260278)
10375,c(32.26541667, -85.97501667)
10376,c(32.33236667, -86.29935833)
10377,c(33.35625278, -86.52562222)
10378,c(34.29166389, -86.49694167)
10379,c(32.705, -85.14818333)
10380,c(30.71099722, -88.03335)
10381,c(32.33873333, -86.17165833)
10382,c(34.84843889, -86.71353333)
10383,c(32.45337778, -85.01257778)
10384,c(30.58088333, -88.22539722)
10385,c(32.59876111, -85.57054167)
10386,c(32.09479167, -86.28168889)
10387,c(34.03829167, -86.45530556)
10388,c(30.54711667, -88.17503056)
10389,c(31.65555556, -86.18966667)
10390,c(31.41061944, -87.26026944)
10391,c(33.08404722, -86.57655556)
10392,c(34.7935, -85.59298333)
10393,c(31.05683611, -85.46713333)
10394,c(34.82141389, -86.94316389)
10395,c(34.08839444, -87.60427778)
10396,c(33.58291111, -85.92654444)
10397,c(32.78179167, -86.08965556)
10398,c(34.53278333, -85.69008889)
10399,c(33.086575, -85.27096111)
10400,c(32.40002778, -86.31100833)
10401,c(32.63159167, -85.37220556)
10402,c(30.93003056, -88.16097778)
10403,c(32.88041111, -86.64361111)
10404,c(33.36514444, -86.71710833)
10405,c(34.68074722, -86.33091667)
10406,c(34.870825, -87.69218889)
10407,c(31.45137778, -85.63774444)
10408,c(33.45854167, -86.89305)
10409,c(34.50105278, -86.92604722)
10410,c(32.36198333, -86.98583889)
10411,c(33.58677778, -86.59939167)
10412,c(34.72591944, -87.66773611)
10413,c(33.7096, -86.17680556)
10414,c(33.06249444, -87.69973056)
10415,c(32.22291389, -88.03052778)
10416,c(34.086325, -85.46177222)
10417,c(34.363775, -87.06634722)
10418,c(31.66665833, -86.07346944)
10419,c(34.06335833, -86.43133889)
10420,c(32.40728611, -87.44432222)
10421,c(33.23502222, -87.38599444)
10422,c(30.57926667, -88.23903889)
10423,c(32.58905556, -85.45861111)
10424,c(31.12687778, -85.40392778)
10425,c(33.19405, -86.80351944)
10426,c(33.95683056, -86.68878333)
10427,c(32.26468889, -86.68749722)
10428,c(30.41712222, -88.24446389)
10429,c(34.88664722, -86.56927778)
10430,c(30.64168611, -88.32605833)
10431,c(34.71168611, -86.53486111)
10432,c(34.49349444, -87.72689722)
10433,c(34.64297778, -86.91680278)
10434,c(33.85514722, -85.99091944)
10435,c(33.62788333, -87.25290278)
10436,c(33.16932778, -87.55207222)
10437,c(31.72901944, -86.12173889)
10438,c(32.37114444, -85.65875833)
10439,c(33.95119444, -87.01898333)
10440,c(32.62787778, -86.49462222)
10441,c(33.43488056, -86.93814444)
10442,c(33.46192222, -86.842325)
10443,c(34.79421111, -87.62419444)
10445,c(34.44121667, -85.71486944)
10446,c(33.48344444, -86.77996944)
10447,c(34.43683611, -85.74724722)
10448,c(32.8781, -87.86794722)
10449,c(32.36244167, -86.21304722)
10450,c(33.40208056, -86.78832222)
10451,c(33.50511389, -86.86144722)
10452,c(33.56638611, -87.00265833)
10453,c(33.51079444, -86.79590278)
10454,c(32.34957222, -87.16818611)
10455,c(34.65985833, -86.48385556)
10456,c(32.43930833, -85.84010556)
10457,c(33.76403889, -86.45101111)
10458,c(32.79318611, -86.01278611)
10459,c(32.06037778, -87.50819722)
10460,c(33.49125556, -86.73710556)
10461,c(33.83210556, -86.83300278)
10462,c(33.46846389, -86.33981389)
10463,c(30.63961111, -88.2247)
10464,c(34.86969167, -86.72898056)
10465,c(34.720125, -86.62753889)
10466,c(33.99193889, -86.03224722)
10467,c(33.42828889, -86.79066667)
10468,c(32.63515278, -85.42301111)
10469,c(30.67870556, -88.27628056)
10470,c(32.72003056, -85.35155833)
10471,c(30.62118611, -87.5924)
10472,c(33.90716111, -85.98227778)
10473,c(31.50300556, -86.9258)
10474,c(34.01151667, -86.07584167)
10475,c(32.05291111, -88.23305556)
10476,c(31.55946111, -87.41641667)
10477,c(31.61128611, -86.81516944)
10478,c(34.81355, -86.64263889)
10479,c(33.50265833, -86.81494722)
10480,c(32.89356667, -86.157175)
10481,c(34.449475, -88.075425)
10482,c(33.26463056, -87.11125)
10483,c(33.31341389, -87.04220833)
10484,c(30.72252778, -88.10219722)
10485,c(32.63422778, -85.57774722)
10486,c(32.78440833, -86.55831389)
10487,c(33.59954167, -86.89975556)
10488,c(33.51401389, -86.84161667)
10489,c(32.43700278, -86.64018611)
10490,c(33.94594722, -85.65367778)
10491,c(32.34963333, -86.09501667)
10492,c(30.99681111, -86.27839444)
10493,c(34.143975, -87.61040556)
10494,c(34.12872778, -87.74280833)
10495,c(34.75863889, -88.09220833)
10496,c(32.4446, -87.97499444)
10497,c(33.15856111, -86.77037222)
10498,c(31.39853889, -85.83116667)
10499,c(34.7083, -86.66696389)
10500,c(34.73495, -86.62624722)
10501,c(31.29496389, -85.71815556)
10502,c(31.46524444, -85.45905556)
10503,c(30.57736667, -88.18222222)
10504,c(32.61216111, -88.30620833)
10505,c(34.97641667, -86.57871944)
10506,c(33.17437222, -87.40515556)
10507,c(34.15888611, -86.84806944)
10508,c(32.44727222, -86.46681667)
10509,c(31.02297222, -87.524025)
10510,c(32.19837778, -88.16917778)
10511,c(31.42662222, -87.38323889)
10512,c(33.41186944, -86.12648056)
10513,c(34.27825278, -86.21108333)
10514,c(34.68476389, -87.59659167)
10515,c(33.22918056, -87.50975)
10516,c(30.47935556, -88.38799444)
10517,c(32.00810556, -87.28956667)
10518,c(33.73008611, -86.74584167)
10519,c(34.61985278, -87.91099444)
10520,c(32.50915556, -87.70711667)
10521,c(32.96056944, -85.67656944)
10522,c(31.67265278, -87.87076389)
10523,c(31.23670556, -85.4075)
